Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,0.205831,0.205994,0.203942,0.203284,0.203284,232023
2023-01-02,0.203297,0.203478,0.201947,0.202144,0.202144,294514
2023-01-03,0.202158,0.202578,0.202584,0.202616,0.202616,310717
2023-01-04,0.202622,0.206334,0.202532,0.206219,0.206219,503710
2023-01-05,0.206185,0.206185,0.205270,0.205066,0.205066,274251
2023-01-06,0.205088,0.204381,0.205211,0.204720,0.204720,329211
2023-01-07,0.204710,0.207053,0.204737,0.206667,0.206667,259211
2023-01-08,0.206643,0.213138,0.206658,0.213138,0.213138,381971
2023-01-09,0.213182,0.211027,0.206148,0.206351,0.206351,592999
2023-01-10,0.206316,0.207388,0.205587,0.207461,0.207461,351836
2023-01-11,0.207464,0.205954,0.206323,0.205375,0.205375,336081
2023-01-12,0.206711,0.201330,0.202507,0.202979,0.202979,462575
2023-01-13,0.202979,0.202023,0.203009,0.202349,0.202349,387054
2023-01-14,0.202340,0.200836,0.202345,0.196840,0.196840,701202
2023-01-15,0.196896,0.197273,0.192493,0.194573,0.194573,362575
2023-01-16,0.194579,0.194956,0.191444,0.189620,0.189620,381858
2023-01-17,0.189658,0.191752,0.191118,0.191233,0.191233,337885
2023-01-18,0.191238,0.191953,0.186670,0.189370,0.189370,557086
2023-01-19,0.189300,0.189425,0.189290,0.189914,0.189914,277853
2023-01-20,0.189910,0.184401,0.185280,0.183746,0.183746,403575
2023-01-21,0.183775,0.185344,0.183824,0.183921,0.183921,464028
2023-01-22,0.183907,0.187531,0.183879,0.186103,0.186103,351128
2023-01-23,0.186087,0.187444,0.184747,0.187627,0.187627,319778
2023-01-24,0.187558,0.196939,0.193176,0.193121,0.193121,570170
2023-01-25,0.193137,0.192088,0.192513,0.190672,0.190672,414284
2023-01-26,0.190541,0.190176,0.190492,0.190172,0.190172,337441
2023-01-27,0.190177,0.191760,0.191701,0.192799,0.192799,303411
2023-01-28,0.192820,0.195536,0.193628,0.194758,0.194758,276460
2023-01-29,0.194753,0.193731,0.194519,0.192774,0.192774,403756
2023-01-30,0.192798,0.194624,0.195266,0.195919,0.195919,402557
2023-01-31,0.195937,0.196491,0.195460,0.196882,0.196882,307256
2023-02-01,0.196830,0.194372,0.195007,0.193369,0.193369,375589
2023-02-02,0.193292,0.199589,0.192931,0.196776,0.196776,553222
2023-02-03,0.196740,0.202653,0.195141,0.199591,0.199591,517556
2023-02-04,0.199580,0.200517,0.198849,0.198324,0.198324,264499
2023-02-05,0.198288,0.201833,0.197442,0.200944,0.200944,406319
2023-02-06,0.200939,0.200568,0.199187,0.200852,0.200852,322905
2023-02-07,0.200809,0.199263,0.200679,0.199299,0.199299,312083
2023-02-08,0.199292,0.198237,0.198345,0.198755,0.198755,312063
2023-02-09,0.198806,0.198831,0.196883,0.197848,0.197848,503410
2023-02-10,0.197879,0.199084,0.197201,0.201967,0.201967,325361
2023-02-11,0.201984,0.201928,0.202114,0.201708,0.201708,226355
2023-02-12,0.201702,0.207683,0.200057,0.206550,0.206550,343883
2023-02-13,0.206531,0.207403,0.192313,0.195383,0.195383,877478
2023-02-14,0.195380,0.192795,0.193607,0.190202,0.190202,425337
2023-02-15,0.190218,0.189623,0.189900,0.189497,0.189497,398818
2023-02-16,0.189485,0.193117,0.185665,0.185824,0.185824,631886
2023-02-17,0.185811,0.184506,0.185525,0.184907,0.184907,413962
2023-02-18,0.184912,0.188011,0.184862,0.187185,0.187185,276557
2023-02-19,0.187147,0.187527,0.185885,0.185518,0.185518,310709
2023-02-20,0.185572,0.186681,0.186458,0.185225,0.185225,397255
2023-02-21,0.185238,0.185475,0.188622,0.187856,0.187856,349425
2023-02-22,0.187862,0.190362,0.188703,0.190345,0.190345,334207
2023-02-23,0.190360,0.188071,0.187526,0.186869,0.186869,286391
2023-02-24,0.186824,0.188474,0.188334,0.187801,0.187801,298392
2023-02-25,0.187830,0.188498,0.188420,0.189593,0.189593,194684
2023-02-26,0.189583,0.188551,0.189115,0.188319,0.188319,190344
2023-02-27,0.188312,0.188012,0.185681,0.186533,0.186533,247690
2023-02-28,0.186533,0.187088,0.187571,0.187730,0.187730,210271
2023-03-01,0.187752,0.185065,0.183998,0.182098,0.182098,227226
2023-03-02,0.182103,0.181546,0.182506,0.182081,0.182081,224921
2023-03-03,0.182100,0.182040,0.184854,0.184992,0.184992,286944
2023-03-04,0.184996,0.185418,0.184709,0.184759,0.184759,184564
2023-03-05,0.184770,0.184811,0.184448,0.184535,0.184535,183832
2023-03-06,0.184538,0.184805,0.181673,0.183779,0.183779,238714
2023-03-07,0.183741,0.185624,0.183815,0.185247,0.185247,238920
2023-03-08,0.185237,0.187863,0.184417,0.186995,0.186995,284641
2023-03-09,0.187046,0.188772,0.190337,0.192746,0.192746,351486
2023-03-10,0.187053,0.188744,0.190464,0.192733,0.192733,351462
2023-03-11,0.192752,0.194067,0.192462,0.194122,0.194122,390999
2023-03-12,0.194132,0.190527,0.190578,0.187504,0.187504,353219
2023-03-13,0.187492,0.182777,0.187461,0.182091,0.182091,303662
2023-03-14,0.182132,0.186092,0.179686,0.183844,0.183844,668135
2023-03-15,0.183859,0.180009,0.182492,0.181429,0.181429,507963
2023-03-16,0.181473,0.183221,0.186386,0.185425,0.185425,360351
2023-03-17,0.185478,0.198268,0.184638,0.196662,0.196662,797232
2023-03-18,0.196677,0.189847,0.196188,0.189051,0.189051,521059
2023-03-19,0.189029,0.190596,0.187766,0.188049,0.188049,469931
2023-03-20,0.188053,0.185500,0.188053,0.188739,0.188739,395363
2023-03-21,0.188752,0.189636,0.192128,0.191818,0.191818,393103
2023-03-22,0.191872,0.187085,0.190527,0.185771,0.185771,353809
2023-03-23,0.185763,0.188599,0.184526,0.185297,0.185297,737195
2023-03-24,0.185283,0.181297,0.184548,0.181646,0.181646,301457
2023-03-25,0.181630,0.181438,0.183649,0.184051,0.184051,267576
2023-03-26,0.184028,0.184588,0.186039,0.185036,0.185036,251779
2023-03-27,0.185015,0.185180,0.184661,0.185239,0.185239,204573
2023-03-28,0.185248,0.185545,0.180341,0.181277,0.181277,382911
2023-03-29,0.181275,0.176171,0.179261,0.176694,0.176694,269800
2023-03-30,0.176675,0.175373,0.175011,0.175003,0.175003,269297
2023-03-31,0.175015,0.174085,0.174776,0.176496,0.176496,331275
2023-04-01,0.176533,0.173609,0.175325,0.174035,0.174035,230240
2023-04-02,0.174046,0.173423,0.172796,0.173083,0.173083,254304
2023-04-03,0.172932,0.173576,0.174799,0.174898,0.174898,246490
2023-04-04,0.174903,0.175044,0.168815,0.170463,0.170463,387741
2023-04-05,0.170478,0.165424,0.170742,0.166222,0.166222,307688
2023-04-06,0.166225,0.166380,0.166213,0.164505,0.164505,310536
2023-04-07,0.164516,0.165804,0.167080,0.166844,0.166844,283386
2023-04-08,0.166844,0.166238,0.167370,0.166624,0.166624,256397
2023-04-09,0.166605,0.167337,0.166755,0.167940,0.167940,249648
2023-04-10,0.167954,0.167658,0.168816,0.168234,0.168234,250372
2023-04-11,0.168232,0.166571,0.168223,0.166571,0.166571,295993
2023-04-12,0.166588,0.173199,0.166426,0.170596,0.170596,473925
2023-04-13,0.170599,0.170463,0.170106,0.166321,0.166321,333696
2023-04-14,0.166879,0.161356,0.166358,0.161350,0.161350,339854
2023-04-15,0.161364,0.158107,0.158138,0.156629,0.156629,448161
2023-04-16,0.156628,0.159417,0.157568,0.159351,0.159351,349359
2023-04-17,0.159343,0.164703,0.159196,0.164255,0.164255,441658
2023-04-18,0.164234,0.166276,0.163469,0.163785,0.163785,412544
2023-04-19,0.163809,0.166944,0.163397,0.163119,0.163119,352329
2023-04-20,0.163108,0.163598,0.164407,0.166652,0.166652,426979
2023-04-21,0.166590,0.165135,0.164376,0.163573,0.163573,341658
2023-04-22,0.163589,0.171961,0.165695,0.173945,0.173945,571859
2023-04-23,0.173936,0.177541,0.173196,0.177142,0.177142,357833
2023-04-24,0.177152,0.177253,0.178239,0.177553,0.177553,343695
2023-04-25,0.177554,0.178381,0.180568,0.179810,0.179810,359764
2023-04-26,0.179785,0.181759,0.181181,0.181296,0.181296,365673
2023-04-27,0.181296,0.175802,0.180158,0.177223,0.177223,487672
2023-04-28,0.177237,0.174277,0.175055,0.173467,0.173467,393079
2023-04-29,0.173469,0.173469,0.167270,0.171461,0.171461,564936
2023-04-30,0.171455,0.170649,0.168846,0.168768,0.168768,281242
2023-05-01,0.168753,0.178651,0.169139,0.180666,0.180666,462964
2023-05-02,0.180645,0.179933,0.180559,0.179461,0.179461,498219
2023-05-03,0.179469,0.179480,0.172104,0.172104,0.172104,367120
2023-05-04,0.172116,0.171423,0.173679,0.171225,0.171225,431478
2023-05-05,0.171220,0.171275,0.172776,0.172495,0.172495,248731
2023-05-06,0.172500,0.165003,0.172500,0.163841,0.163841,260133
2023-05-07,0.163843,0.163173,0.170978,0.169888,0.169888,260156
2023-05-08,0.169880,0.168631,0.170928,0.171757,0.171757,233873
2023-05-09,0.171658,0.170952,0.169887,0.169800,0.169800,344177
2023-05-10,0.169817,0.171304,0.168940,0.169090,0.169090,249525
2023-05-11,0.169081,0.170411,0.170067,0.170735,0.170735,295910
2023-05-12,0.170741,0.170741,0.171367,0.171401,0.171401,270136
2023-05-13,0.171398,0.171661,0.172770,0.170652,0.170652,281881
2023-05-14,0.170669,0.172973,0.170648,0.173201,0.173201,214393
2023-05-15,0.173202,0.172547,0.172756,0.173373,0.173373,224658
